ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Barrios Unidos;17;FEMENINO;SUBSIDIADO;7
2009;Barrios Unidos;17;MASCULINO;CONTRIBUTIVO;6
2009;Barrios Unidos;17;MASCULINO;ESPECIAL;1
2009;Barrios Unidos;17;MASCULINO;NO ASEGURADO;6
2009;Barrios Unidos;17;MASCULINO;SUBSIDIADO;4
2009;Barrios Unidos;18;FEMENINO;CONTRIBUTIVO;24
2009;Barrios Unidos;18;FEMENINO;NO ASEGURADO;10
2009;Barrios Unidos;18;FEMENINO;SUBSIDIADO;4
2009;Barrios Unidos;18;MASCULINO;CONTRIBUTIVO;14
2009;Barrios Unidos;18;MASCULINO;NO ASEGURADO;5
2009;Barrios Unidos;18;MASCULINO;SUBSIDIADO;4
2009;Barrios Unidos;19;FEMENINO;CONTRIBUTIVO;26
2009;Barrios Unidos;19;FEMENINO;NO ASEGURADO;17
2009;Barrios Unidos;19;FEMENINO;SUBSIDIADO;4
2009;Barrios Unidos;19;MASCULINO;CONTRIBUTIVO;26
2009;Barrios Unidos;19;MASCULINO;NO ASEGURADO;10
2009;Barrios Unidos;19;MASCULINO;SUBSIDIADO;6
2009;Barrios Unidos;20;FEMENINO;CONTRIBUTIVO;22
2009;Barrios Unidos;20;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;20;FEMENINO;NO ASEGURADO;10
2009;Barrios Unidos;20;FEMENINO;SUBSIDIADO;7
2009;Barrios Unidos;20;MASCULINO;CONTRIBUTIVO;22
2009;Barrios Unidos;20;MASCULINO;NO ASEGURADO;7
2009;Barrios Unidos;20;MASCULINO;SUBSIDIADO;7
2009;Barrios Unidos;21;FEMENINO;CONTRIBUTIVO;19
2009;Barrios Unidos;21;FEMENINO;NO ASEGURADO;8
2009;Barrios Unidos;21;FEMENINO;SUBSIDIADO;6
2009;Barrios Unidos;21;MASCULINO;CONTRIBUTIVO;23
2009;Barrios Unidos;21;MASCULINO;NO ASEGURADO;10
2009;Barrios Unidos;21;MASCULINO;SUBSIDIADO;5
2009;Barrios Unidos;22;FEMENINO;CONTRIBUTIVO;26
2009;Barrios Unidos;22;FEMENINO;EXCEPCION;4
2009;Barrios Unidos;22;FEMENINO;NO ASEGURADO;6
2009;Barrios Unidos;22;FEMENINO;SUBSIDIADO;5
2009;Barrios Unidos;22;MASCULINO;CONTRIBUTIVO;34
2009;Barrios Unidos;22;MASCULINO;EXCEPCION;2
2009;Barrios Unidos;22;MASCULINO;NO ASEGURADO;6
2009;Barrios Unidos;22;MASCULINO;SUBSIDIADO;4
2009;Barrios Unidos;23;FEMENINO;CONTRIBUTIVO;30
2009;Barrios Unidos;23;FEMENINO;NO ASEGURADO;10
2009;Barrios Unidos;23;FEMENINO;SUBSIDIADO;5
2009;Barrios Unidos;23;MASCULINO;CONTRIBUTIVO;31
2009;Barrios Unidos;23;MASCULINO;EXCEPCION;2
2009;Barrios Unidos;23;MASCULINO;NO ASEGURADO;3
2009;Barrios Unidos;23;MASCULINO;SUBSIDIADO;1
2009;Barrios Unidos;24;FEMENINO;CONTRIBUTIVO;37
2009;Barrios Unidos;24;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;24;FEMENINO;NO ASEGURADO;3
2009;Barrios Unidos;24;FEMENINO;SUBSIDIADO;1
2009;Barrios Unidos;24;MASCULINO;CONTRIBUTIVO;38
2009;Barrios Unidos;24;MASCULINO;EXCEPCION;1
2009;Barrios Unidos;24;MASCULINO;NO ASEGURADO;7
2009;Barrios Unidos;24;MASCULINO;SUBSIDIADO;2
2009;Barrios Unidos;25;FEMENINO;CONTRIBUTIVO;24
2009;Barrios Unidos;25;FEMENINO;NO ASEGURADO;3
2009;Barrios Unidos;25;FEMENINO;SUBSIDIADO;3
2009;Barrios Unidos;25;MASCULINO;CONTRIBUTIVO;38
2009;Barrios Unidos;25;MASCULINO;EXCEPCION;2
2009;Barrios Unidos;25;MASCULINO;NO ASEGURADO;5
2009;Barrios Unidos;25;MASCULINO;SUBSIDIADO;6
2009;Barrios Unidos;26;FEMENINO;CONTRIBUTIVO;32
2009;Barrios Unidos;26;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;26;FEMENINO;NO ASEGURADO;5
2009;Barrios Unidos;26;FEMENINO;SUBSIDIADO;2
2009;Barrios Unidos;26;MASCULINO;CONTRIBUTIVO;34
2009;Barrios Unidos;26;MASCULINO;NO ASEGURADO;5
2009;Barrios Unidos;26;MASCULINO;SUBSIDIADO;3
2009;Barrios Unidos;27;FEMENINO;CONTRIBUTIVO;31
2009;Barrios Unidos;27;FEMENINO;EXCEPCION;3
2009;Barrios Unidos;27;FEMENINO;NO ASEGURADO;4
2009;Barrios Unidos;27;FEMENINO;SUBSIDIADO;7
2009;Barrios Unidos;27;MASCULINO;CONTRIBUTIVO;35
